Key,Translation
"CAPTAIN_JUDAS_PRE_BATTLE1",Do you want a first-hand lesson in survival, then? [pause]I’ve already received intel that you’re a ranger trainee.
"CAPTAIN_JUDAS_PRE_BATTLE2",Alright, [pause]but don’t take it personally when you find yourself face down in the dirt.
"CAPTAIN_JUDAS_PRE_BATTLE_NO",CAPTAIN_JUDAS_PRE_BATTLE_NO
"CAPTAIN_JUDAS_PRE_REMATCH1",CAPTAIN_JUDAS_PRE_REMATCH1
"CAPTAIN_JUDAS_PRE_REMATCH2",Alright. [pause]I’ve made some tactical observations that will maximise my chances of victory this time.
"CAPTAIN_JUDAS_PRE_REMATCH_NO",CAPTAIN_JUDAS_PRE_REMATCH_NO
"CAPTAIN_LODESTEIN_DEFEATED_INTERACT1",CAPTAIN_LODESTEIN_DEFEATED_INTERACT1
"CAPTAIN_LODESTEIN_INTRO1",CAPTAIN_LODESTEIN_INTRO1
"CAPTAIN_LODESTEIN_INTRO2",...
"CAPTAIN_LODESTEIN_INTRO4",Levi Lodestein. [pause]I work with the rangers to keep the lights on.
"CAPTAIN_LODESTEIN_INTRO6",My educated guess is that there’s a unique kind of background electricity here on New Wirral that these pylons can conduct and store…
"CAPTAIN_LODESTEIN_LAST_LEGS1",Shocking – [pause]you’re performing better than I thought you would! 
"CAPTAIN_LODESTEIN_NOT_TRAINEE1",If you’re interested in helping out around the island yourself, why not go speak to Ianthe? She’ll be somewhere in New Wirral Park right about now.
"CAPTAIN_LODESTEIN_POST_BATTLE1",That was a pretty electrifying fight, if I say so myself!
"CAPTAIN_LODESTEIN_POST_BATTLE2",Forgive me for the puns – it’s a force of habit.
"CAPTAIN_LODESTEIN_POST_REMATCH1",CAPTAIN_LODESTEIN_POST_REMATCH1
"CAPTAIN_LODESTEIN_POST_REWARD1",I’d really love to chat a bit longer, but unfortunately I have some maintenance work left to do here.
"CAPTAIN_LODESTEIN_PRE_BATTLE1",Enough science talk. [pause]You’re here to take my ranger captain challenge, am I correct?
"CAPTAIN_LODESTEIN_PRE_BATTLE2",Great! [pause]This won’t shock you to hear, but my area of expertise in battle is electricity. You’ll have to be quick on your feet if you don’t want to be struck by lightning!
"CAPTAIN_LODESTEIN_PRE_BATTLE_NO",My mistake. I got so caught up in my spiel that I didn’t realise you were just passing by.
"CAPTAIN_LODESTEIN_PRE_REMATCH1",CAPTAIN_LODESTEIN_PRE_REMATCH1
"CAPTAIN_LODESTEIN_PRE_REMATCH3",I’d say “I won’t go easy on you this time!”, [pause]but the truth is that I didn’t go easy on you.
"CAPTAIN_LODESTEIN_PRE_REMATCH_NO",My mistake. I got so caught up in my spiel that I didn’t realise you were just passing by.
"CAPTAIN_SKIP_DEFEATED_INTERACT1",Greetings! [pause]Are you here to sort through some junk with me?
"CAPTAIN_SKIP_INTRO1",Boy, the offworlders really make a lot of [wave amp=30 freq=10]stuff[/wave], don’t they?
"CAPTAIN_SKIP_INTRO2",Greetings! [pause]I’m Skip, one of the ranger captains of New Wirral. 
"CAPTAIN_SKIP_INTRO3",I gather and sort all the [wave amp=30 freq=10]stuff[/wave] you offworlders make that ends up here.
"CAPTAIN_SKIP_INTRO5",One world’s trash is another world’s treasure, [pause]after all!
"CAPTAIN_SKIP_LAST_LEGS1",You’re doing well so far! [pause]No promises to keep going easy on you, though!
"CAPTAIN_SKIP_NOT_TRAINEE1",Say, if you’re interested in the noble pursuit of “sorting through junk”, why not become a ranger trainee yourself?
"CAPTAIN_SKIP_POST_BATTLE1",CAPTAIN_SKIP_POST_BATTLE1
"CAPTAIN_SKIP_POST_REMATCH1",Huh… [pause]I lost again!
"CAPTAIN_SKIP_POST_REMATCH4",Deep down, I’m just a nerd… [pause]a nerd for all this [wave amp=30 freq=10]stuff[/wave]!
"CAPTAIN_SKIP_POST_REWARD1",As for me, I should get back to sorting out all this stuff. [pause]Do people from your world really own so many [wave amp=30 freq=10]things[/wave]?
"CAPTAIN_SKIP_POST_REWARD2",I can’t imagine that kind of life!
"CAPTAIN_SKIP_PRE_BATTLE1",CAPTAIN_SKIP_PRE_BATTLE1
"CAPTAIN_SKIP_PRE_BATTLE2",Wonderful! [pause]Try to have fun – and don’t get too disappointed when I beat you!
"CAPTAIN_SKIP_PRE_BATTLE_NO",No worries! [pause]I have plenty of junk to sort through, anyway!
"CAPTAIN_SKIP_PRE_REMATCH1",CAPTAIN_SKIP_PRE_REMATCH1
"CAPTAIN_SKIP_PRE_REMATCH3",Alright! [pause]This should be fun!
"CAPTAIN_SKIP_PRE_REMATCH_NO",No worries! [pause]I have plenty of junk to sort through, anyway!
"CAPTAIN_WALLACE_DEFEATED_INTERACT1",I need to build a better foundation for my battle strategy…
"CAPTAIN_WALLACE_INTRO1",You wanna know what [wave amp=30 freq=10]really[/wave] separates us from the monsters?
"CAPTAIN_WALLACE_INTRO4",I’m Wallace, one of Harbourtown’s ranger captains. [pause]I oversee any building work on New Wirral.
"CAPTAIN_WALLACE_LAST_LEGS1",I won’t be demolished so easily!
"CAPTAIN_WALLACE_NOT_TRAINEE1",CAPTAIN_WALLACE_NOT_TRAINEE1
"CAPTAIN_WALLACE_POST_BATTLE1",I built up my walls and you brought them [shake rate=30 level=10]right down![/shake] 
"CAPTAIN_WALLACE_POST_BATTLE2",Nice work – you’ve earned this.
"CAPTAIN_WALLACE_POST_REMATCH1",Despite all my efforts, my defenses still crumbled…
"CAPTAIN_WALLACE_POST_REWARD1",I stumbled across that rare material while surveying the park for a building project. You can swap it at the town hall for some neat stuff.
"CAPTAIN_WALLACE_PRE_BATTLE1",CAPTAIN_WALLACE_PRE_BATTLE1
"CAPTAIN_WALLACE_PRE_BATTLE2",I hope your training has a strong foundation – you’re gonna need to be tough if you wanna bring down my walls!
"CAPTAIN_WALLACE_PRE_BATTLE_NO",Another time, then.
"CAPTAIN_WALLACE_PRE_REMATCH1",CAPTAIN_WALLACE_PRE_REMATCH1
"CAPTAIN_WALLACE_PRE_REMATCH3",My walls aren’t going to fall so easily this time!
"CAPTAIN_WALLACE_PRE_REMATCH_NO",Another time, then.
"CAPTAIN_ZEDD_DEFEATED_INTERACT1",It’s important to get enough sleep… but how much sleep IS enough? [pause]Mankind has been searching for that answer since the dawn of history.
"CAPTAIN_ZEDD_NAME_SHORT",Zedd
"CAPTAIN_ZEDD_INTRO4",It’s getting real difficult to “meditate” around here, what with all these Bulletinos zooming around. Any chance you could [wave amp=30 freq=10]sort that out for me?[/wave]
"CAPTAIN_ZEDD_INTRO1",...
"CAPTAIN_ZEDD_INTRO2",What’s that…? [pause]Sleeping? [pause]No, not at all! I was, uh, meditating. I’m Zedd, by the way.
"CAPTAIN_ZEDD_INTRO3",That said, it’s getting real difficult to “meditate” around here, what with all these Bulletinos zooming around. Any chance you could [wave amp=30 freq=10]sort that out for me?[/wave]
"CAPTAIN_ZEDD_INTRO5",Thanks for that. Man, it shouldn’t be this hard for a [wave amp=30 freq=10]ranger captain[/wave] to get a bit of shut-eye around here!
"CAPTAIN_ZEDD_INTRO_KAYLEIGH",Oh! [pause]I TOTALLY forgot you’re a ranger captain!
"CAPTAIN_ZEDD_INTRO_MEREDITH",Uhh, [pause]YOU are a ranger captain?
"CAPTAIN_ZEDD_INTRO_EUGENE",I didn’t think YOU would be a ranger.
"CAPTAIN_ZEDD_INTRO_FELIX",CAPTAIN_ZEDD_INTRO_FELIX
"CAPTAIN_ZEDD_INTRO_VIOLA",CAPTAIN_ZEDD_INTRO_VIOLA
"CAPTAIN_ZEDD_LAST_LEGS1",*Yawn* [pause]How’s the fight going? Have I won yet? Oh.
"CAPTAIN_ZEDD_NOT_TRAINEE1",Uh, if you want to take my ranger challenge, you’re gonna need to sign up first. [pause]Come wake me up when you’ve done that, I guess.
"CAPTAIN_ZEDD_POST_BATTLE1",Wow, I think that final blow woke me up a bit. [pause]Here’s your reward.
"CAPTAIN_ZEDD_POST_REMATCH1",I lost again? This is why I don’t trust the waking world...
"CAPTAIN_ZEDD_POST_REWARD1",I could do with a cup of coffee to wake me up...
"CAPTAIN_ZEDD_PRE_BATTLE1",Uh, I guess you’re here to take my ranger training challenge, right? 
"CAPTAIN_ZEDD_PRE_BATTLE2",*Yawn* Alright then. Let’s hit the hay – [pause]I mean, hit the battlefield. [pause]Yeah.
"CAPTAIN_ZEDD_PRE_BATTLE_NO",No problem. I could do with a nap, anyway.
"CAPTAIN_ZEDD_PRE_REMATCH1",CAPTAIN_ZEDD_PRE_REMATCH1
"CAPTAIN_ZEDD_PRE_REMATCH3",*Yawn* Let’s go again, then.
"CAPTAIN_ZEDD_PRE_REMATCH_NO",No problem. I could do with a nap, anyway.
"TOWN_HALL_BUFFY_EVENT_BUFFY1",…I’m thinking that the rangers would benefit from some physical fitness classes.
"TOWN_HALL_BUFFY_EVENT_BUFFY2",We could even make it fun! [pause]How about [wave amp=30 freq=10]dance aerobics[/wave]? Cybil could provide a music playlist!
"TOWN_HALL_BUFFY_EVENT_IANTHE3",Yeah, that sounds like a cute idea! If you think you can manage it, of course.
"TOWN_HALL_BUFFY_EVENT_BUFFY4",No sweat! I used to run a cardio class every week for five years. If anyone’s up to the job, it’s [wave amp=30 freq=10]me[/wave]!
"TOWN_HALL_CLEEO_EVENT_CLEEO1",[color=#e3affe]...I simply find it difficult to sympathise with the plight of the human race.[/color]
"TOWN_HALL_CLEEO_EVENT_IANTHE2",That’s understandable. People can be… [pause]confusing. [pause]Unpredictable.
"TOWN_HALL_CLEEO_EVENT_CLEEO3",[color=#e3affe]...Nah, [pause]I disagree. Humans are [wave amp=30 freq=10]not[/wave] unpredictable. You can predict their behaviour very easily, in fact.[/color]
"TOWN_HALL_CLEEO_EVENT_CLEEO4",[color=#e3affe]Human beings will make the [shake rate=30 level=10]stupidest[/shake] decision possible in any given scenario as long as there is even a [wave amp=30 freq=10]miniscule[/wave] short-term reward.[/color]
"TOWN_HALL_CLEEO_EVENT_IANTHE5",I appreciate your honest analysis, Clee-O!
"TOWN_HALL_CLEEO_EVENT_CLEEO7",[color=#e3affe]So do I! It is my [wave amp=30 freq=10]emotions[/wave] that tell me that mankind is [shake rate=30 level=10]inherently[/shake] stupid and will eventually [shake rate=30 level=10]sow the seeds of its own destruction![/shake][/color]
"TOWN_HALL_CLEEO_EVENT_IANTHE8",Well until that happens, your services in the rangers will still be valued.
"TOWN_HALL_CLEEO_EVENT_CLEEO9",[color=#e3affe]Hmph.[/color]
"TOWN_HALL_CODEY_EVENT_CODEY1",…If I knew that people would be calling me “Codey” forever, I would have picked a cooler nickname. [pause]Like “Killswitch”, [pause]or “Omegabyte”.
"TOWN_HALL_CODEY_EVENT_IANTHE2",I mean, you can just pick your own name. I did.
"TOWN_HALL_CODEY_EVENT_CODEY3",Wait... Your name wasn’t always Ianthe?!
"TOWN_HALL_CODEY_EVENT_IANTHE4",Nope! In my former line of work, it was safer to pick an alias – I’m sure you can relate.
"TOWN_HALL_CODEY_EVENT_CODEY6",Huh. You sure do have a lot of secrets of your own, don’t you?
"TOWN_HALL_CODEY_EVENT_IANTHE7",Don’t expect me to tell you any more than that!
"CAPTAIN_CODEY_CM_CODEY1",CAPTAIN_CODEY_CM_CODEY1
"CAPTAIN_CODEY_CM_INTRO_OPTION1",CAPTAIN_CODEY_CM_INTRO_OPTION1
"CAPTAIN_CODEY_CM_CODEY2",CAPTAIN_CODEY_CM_CODEY2
"CAPTAIN_CODEY_CM_CODEY2_OPTION1",CAPTAIN_CODEY_CM_CODEY2_OPTION1
"CAPTAIN_CODEY_CM_CODEY3",CAPTAIN_CODEY_CM_CODEY3
"CAPTAIN_CODEY_CM_CODEY4",CAPTAIN_CODEY_CM_CODEY4
"CAPTAIN_CODEY_CM_CODEY5",CAPTAIN_CODEY_CM_CODEY5
"CAPTAIN_CODEY_CM_CODEY7",CAPTAIN_CODEY_CM_CODEY7
"CAPTAIN_CODEY_CM_CODEY8",CAPTAIN_CODEY_CM_CODEY8
"TOWN_HALL_CYBIL_EVENT_CYBIL1",…And if we installed speakers throughout Harbourtown, I could broadcast music to the [wave amp=30 freq=10]entire town[/wave] at once!
"TOWN_HALL_CYBIL_EVENT_IANTHE3",I don’t know, Cybil. I suspect the folks around here have quite a diverse taste in music. I could see it being a controversial decision.
"TOWN_HALL_CYBIL_EVENT_CYBIL4",Hmm. I see your point.
"TOWN_HALL_CYBIL_EVENT_IANTHE5",Hey, I never said it was off the table entirely! [pause]I’ll tell you what: if Skip manages to dig up some intact hi-fi speakers one day, I’ll propose the idea at the following town hall meeting.
"TOWN_HALL_CYBIL_EVENT_CYBIL6",[wave amp=30 freq=10]That’s the spirit![/wave]
"TOWN_HALL_DREADFUL_EVENT_DREADFUL1",…I’m telling you boss, something’s shifted on the astral plane lately. All the ghosts are talking about it. There’s some [wave amp=30 freq=10]big players[/wave] back on the board, they’re sayin’!
"TOWN_HALL_DREADFUL_EVENT_IANTHE2",“All the ghosts”...?
"TOWN_HALL_DREADFUL_EVENT_DREADFUL3",Of course! [pause]There’s [wave amp=30 freq=10]all sorts[/wave] of spirits, shades and tulpas hanging out on the astral plane. Where do you think I get my best intel from?
"TOWN_HALL_DREADFUL_EVENT_IANTHE4",I’ll take your word for it!
"TOWN_HALL_GLADIOLA_EVENT_IANTHE1",So, what can you tell me? I want your full analysis.
"TOWN_HALL_GLADIOLA_EVENT_GLADIOLA2",Very well! [pause]Our “rogue fusion” problem has indeed been increasing in recent months. Have you seen the dense black clouds in the air, recently? I have concluded that these indicate where monsters are [wave amp=30 freq=10]swarming[/wave].
"TOWN_HALL_GLADIOLA_EVENT_GLADIOLA3",On a recent recon mission, I found myself in the midst of a swarm of Jellytons. They may have had superior numbers, but I [wave amp=30 freq=10]cut them down[/wave] all the same!
"TOWN_HALL_GLADIOLA_EVENT_GLADIOLA4",However, I fear that our more inexperienced rangers may underestimate these threats and find themselves in mortal peril. Perhaps we should get the word out about these “monster swarms”.
"TOWN_HALL_GLADIOLA_EVENT_IANTHE5",Consider it done! Your intel is as valuable as always, Gladiola.
"TOWN_HALL_GLADIOLA_EVENT_GLADIOLA6",You’re too kind! Now, if you’ll excuse me, I have more work to do. The [wave amp=30 freq=10]forces of darkness[/wave] take no breaks, so neither shall I.
"TOWN_HALL_HEATHER_EVENT_HEATHER1",…Well? Do you miss it? Life in the big city, I mean.
"TOWN_HALL_HEATHER_EVENT_IANTHE3",It certainly was more [wave amp=30 freq=10]exciting[/wave]... but that doesn’t mean life was [wave amp=30 freq=10]better[/wave].
"TOWN_HALL_HEATHER_EVENT_IANTHE4",I lived my whole life in a mega-metropolis. The only trees I had seen were made in factories. The stars had long been blotted out by the skyscrapers and their neon facades.
"TOWN_HALL_HEATHER_EVENT_IANTHE6",You can imagine that when I first [wave amp=30 freq=10]landed[/wave] here, it took a long time for me to get used to this pace of life!
"TOWN_HALL_HEATHER_EVENT_HEATHER7",That’s… [pause]a bit more of an answer than I was expecting, boss!
"TOWN_HALL_JUDAS_EVENT_JUDAS1",…I’m serious, Ianthe. The latest batch of ranger trainees just don’t have what it TAKES. They don’t understand that strategy matters [wave amp=30 freq=10]more[/wave] than just transforming into the scariest monster.
"TOWN_HALL_JUDAS_EVENT_IANTHE2",Well isn’t that your job – [pause]to teach them?
"TOWN_HALL_JUDAS_EVENT_JUDAS4",Heh. I see your point. I’ll reserve my judgement…
"TOWN_HALL_JUDAS_EVENT_JUDAS5",For now.
"TOWN_HALL_LODESTEIN_EVENT_LODESTEIN1",…And that concludes my report. Our hydroelectric generators are all fully functioning. We might need some new parts in the next couple of years, but it’s small stuff.
"TOWN_HALL_LODESTEIN_EVENT_IANTHE2",Not a bad state of affairs for the town, then! Thanks for your report, Levi. 
"TOWN_HALL_LODESTEIN_EVENT_IANTHE3",It’s a miracle that we have running water and clean energy at all. I worry sometimes that things could change. This island is [wave amp=30 freq=10]unpredictable[/wave].
"TOWN_HALL_LODESTEIN_EVENT_LODESTEIN4",TOWN_HALL_LODESTEIN_EVENT_LODESTEIN4
"TOWN_HALL_LODESTEIN_EVENT_IANTHE4",Thanks for saying that – [pause]you’re right, of course!
"TOWN_HALL_SKIP_EVENT_SKIP1",…C’mon, Ianthe! You gotta tell me what your life was like before you came to New Wirral!
"TOWN_HALL_SKIP_EVENT_IANTHE2",Well… [pause]I was something like a detective, if that makes sense.
"TOWN_HALL_SKIP_EVENT_SKIP3",Wow! [pause]Did you have to find people’s missing stuff a lot? Offworlders seem to own a [wave amp=30 freq=10]lot[/wave] of things and they must lose them here and there, right?
"TOWN_HALL_SKIP_EVENT_IANTHE4",My jobs tended to be a… [pause]little higher stakes than that, if I’m honest.
"TOWN_HALL_SKIP_EVENT_SKIP5",I should better get back to my scavenging operation, but next time I see you you [wave amp=30 freq=10]have[/wave] to tell me more!
"TOWN_HALL_WALLACE_EVENT_WALLACE1",TOWN_HALL_WALLACE_EVENT_WALLACE1
"TOWN_HALL_WALLACE_EVENT_WALLACE2",Me and the boys were [wave amp=30 freq=10]proper[/wave] impressed! I was absolutely flattened in our fight.
"TOWN_HALL_WALLACE_EVENT_IANTHE3",TOWN_HALL_WALLACE_EVENT_IANTHE3
"TOWN_HALL_WALLACE_EVENT_WALLACE4",Well, it’s not often that we do combat trials for the trainees. My usual “build a brick wall” test isn’t quite as exciting to sit through…
"TOWN_HALL_WALLACE_EVENT_WALLACE5",Speaking of which, my lunch break is over! I got work to do – see you later, boss!
"TOWN_HALL_ZEDD_EVENT_ZEDD1",…I’m gonna be honest Ianthe, I don’t think the other captains [wave amp=30 freq=10]get[/wave] it.
"TOWN_HALL_ZEDD_EVENT_IANTHE2",Get… what, exactly?
"TOWN_HALL_ZEDD_EVENT_ZEDD3",The whole [wave amp=30 freq=10]sleep thing[/wave], man! My whole deal! 
"TOWN_HALL_ZEDD_EVENT_IANTHE6",Well, you [wave amp=30 freq=10]ARE[/wave] a big slacker.
"TOWN_HALL_ZEDD_EVENT_ZEDD7",Heh. I know.
"TOWN_HALL_ZEDD_EVENT_IANTHE8",TOWN_HALL_ZEDD_EVENT_IANTHE8
"TOWN_HALL_ZEDD_EVENT_ZEDD9",TOWN_HALL_ZEDD_EVENT_ZEDD9
"TOWN_HALL_ZEDD_EVENT_ZEDD10",*Yawn* [pause]All this human interaction really takes it out of a guy. I think I’m gonna go and get some shut-eye.
"RANGER_GATEKEEPER_INTRO1",Hey! You!
"RANGER_GATEKEEPER_PRE_BATTLE1",The monsters past here won’t hesitate to put you in hospital.
"RANGER_GATEKEEPER_POST_BATTLE1",RANGER_GATEKEEPER_POST_BATTLE1
"DOG_UNKNOWN_NAME",Dog
"DOG_QUEST1_PART1_DOG1",Arf!
"DOG_QUEST1_PART1_NARRATION2",It’s a friendly dog!
"DOG_QUEST1_PART1_DOG6",[wave amp=30 freq=10]Whuhhh...[/wave]
"DOG_QUEST1_PART1_NARRATION7",Barkley’s looking up the cliff and whining. He must want to go up.
"DOG_QUEST1_PART1_NARRATION8",You can get up there with your climbing ability. Will you go with him?
"DOG_QUEST1_PART1_DOG10",Arf arf!
"DOG_QUEST1_PART1_NARRATION9",He won’t move from this spot. Perhaps if you had some way to take him up the cliff…
"DOG_QUEST1_PART2_NARRATION1",Barkley didn’t have any trouble getting up the cliff. It seems like he just wanted someone to accompany him.
"AVEREVOIR_NAME",Averevoir
"AVEREVOIR_SUBTITLE",Towering Bird
"DOG_QUEST1_PART3_DOG1",Grrrrr...
"DOG_QUEST1_PART4_NARRATION1",These look like human bones...
"DOG_QUEST1_PART4_NARRATION2",Among the bones is a dog leash and some treats.
"DOG_QUEST1_PART4_NARRATION3",Barkley digs a big hole and the pair of you bury the bones.
"DOG_QUEST1_PART4_NARRATION4",Afterwards, Barkley gives your hand a big wet lick!
"DOG_QUEST1_PART4_DOG5",*Pant pant*
"DUNGEON_MEADOW_MAD_HATTER",You’ve disturbed a monster’s tea party!
"DUNGEON_MEADOW_RED_QUEEN",Queenyx wants your head!
"END_PART1_KAYLEIGH1",Is this a coffin? {player}, why is it so big…?
"END_PART1_MEREDITH1",I don’t know what this is, but I have a hunch that we shouldn’t mess with it.
"END_PART1_EUGENE1",This is… I don’t know what to make of this.
"END_PART1_FELIX1",I’d say that this was a surprising thing to find here, but I really don’t know what I expected.
"END_PART1_VIOLA1",This coffin was assembled by mourning hands. [pause]Can you not feel it so?
"END_PART1_DOG1",[shake rate=30 level=10]Whuhhh….[/shake]
"END_PART1_MORGANTE2",MORDREAD… MY CHILD…

JUSTICE SHALL COME TO THE KING IN RED.

SOON.
"END_PART1_KAYLEIGH3",END_PART1_KAYLEIGH3
"END_PART1_MEREDITH3",END_PART1_MEREDITH3
"END_PART1_EUGENE3",END_PART1_EUGENE3
"END_PART1_FELIX3",END_PART1_FELIX3
"END_PART1_VIOLA3",END_PART1_VIOLA3
"END_PART1_DOG3",Arf!
"ONLINE_NOTIFICATION_DEFEATED_BOSS",ONLINE_NOTIFICATION_DEFEATED_BOSS
"AA_ALEPH_NULL_NAME",Aleph Null
"END_PART10_MORGANTE2",OUR SONG ENDS HERE.
"END_PART10_MORGANTE4",FAREWELL.
"END_PART10_KAYLEIGH5",We should head back… [pause]I don’t think this train is super stable. 
"END_PART10_MEREDITH5",C’mon, let’s head back before this train falls into the abyss.
"END_PART10_EUGENE5",We should head back for now – [pause]I don’t think this train is gonna hold.
"END_PART10_FELIX5",We should probably head back before this train falls into the void, [pause]right?
"END_PART10_VIOLA5",We would be wise to return for the present.
"END_PART10_DOG5",Arf.
"END_PART11_KAYLEIGH1",Sorry your cassette player was destroyed, [pause]{player}...
"END_PART11_KAYLEIGH2",Luckily I always keep a spare on me!
"END_PART11_KAYLEIGH3",...Was this building here before?
"END_PART11_MEREDITH3",So, [pause]uh, [pause]that building wasn’t here before, was it?
"END_PART11_EUGENE3",Do you guys know what’s going on with this… [pause]building?
"END_PART11_FELIX3",Well, that’s pretty unusual.
"END_PART11_VIOLA3",How curious.
"END_PART11_BARKLEY3",Arf?
"END_PART11_AMBER4",Don’t go worryin’ about me! The name’s Ms. Amber.
"END_PART11_AMBER5",END_PART11_AMBER5
"END_PART11_AMBER6",Why, I’m just here to make sure you fine folks don’t go hurtin’ yourself.
"END_PART11_AMBER7",Though it looks like you gave our mutual friend a mighty beating already. [pause]That’s a first!
"END_PART11_AMBER7_OPTION1",Beating? I think we destroyed him.
"END_PART11_AMBER8",Folks like Aleph and I ain’t flesh and blood, sugar. [pause]It takes an idea to die for us not to be able to come back in some form.
"END_PART11_KAYLEIGH11",You’re another Archangel...
"END_PART11_AMBER12",Relax, red. I’m a friend.
"END_PART11_KAYLEIGH14",T-This really can take us back to our own worlds?
"END_PART11_KAYLEIGH15",Brilliant! [pause]I should let the rangers know before we go!
"END_PART11_AMBER16",{player}, you don’t have to leave right now...
"END_PART12_AMBER1",END_PART12_AMBER1
"UI_BUTTON_YES",Yes
"END_PART12_AMBER_NO",There’s no rush. Take your time!
"END_PART12_AMBER2",With a stable world gate like this, [pause]the rules are mighty simple.
"END_PART12_KAYLEIGH6",Wh-what?!
"END_PART12_AMBER7",Them’s the breaks, red. 
"END_PART12_VIOLA10",It pains me to end our tales here, [pause]but I so greatly wish to see my brother again.
"END_PART12_VIOLA11",Parting is such sweet sorrow.
"END_PART12_VIOLA12",Farewell, [pause]friends.
"END_PART12_VIOLA13",{player}, what we shared in our brief time together...
"END_PART12_VIOLA15",I shall treasure you always.
"END_PART12_EUGENE16",We’ve taken on godlike beings and won...
"END_PART12_EUGENE17",Man, I’m so pumped to go back home and kick some ass!
"END_PART12_EUGENE20",It’s been a blast, guys.
"END_PART12_EUGENE21",I guess this is our breakup, {player}.
"END_PART12_EUGENE25",END_PART12_EUGENE25
"END_PART12_FELIX26",Man…
"END_PART12_FELIX30",I’m gonna miss these good times, [pause]folks.
"END_PART12_FELIX31",{player}...
"END_PART12_FELIX35",I think part of me might always love you.
"END_PART12_MEREDITH36",I’m not…
"END_PART12_MEREDITH39",Don’t you... [pause]forget about me, [pause]OK?
"END_PART12_MEREDITH40",Especially you, {player}.
"END_PART12_MEREDITH41",END_PART12_MEREDITH41
"END_PART12_MEREDITH44",I kinda knew that things would have to end if we found our way out…
"END_PART12_MEREDITH46",END_PART12_MEREDITH46
"END_PART12_KAYLEIGH47",This really is it, isn’t it?
"END_PART12_KAYLEIGH52",I suppose we don’t need cassette tapes to do that really, do we?
"END_PART12_KAYLEIGH53",The future has always been ours for the taking.
"END_PART12_KAYLEIGH54",I guess we won’t see each other again, [pause]{player}.
"END_PART12_KAYLEIGH58",I love you. [pause]Thanks a million.
"END_PART12_DOG59",Arf! Arf!
"END_PART12_AMBER60",Oh! [pause]I think that one wants to go back with you. [pause]Ain’t that sweet!
"END_PART12_AMBER61",I think it’s your turn now, sugar. 
"END_PART12_AMBER62",END_PART12_AMBER62
"END_PART12_AMBER62_OPTION1",END_PART12_AMBER62_OPTION1
"END_PART2_CONFIRM1",END_PART2_CONFIRM1
"END_PART2_CONFIRM2",Would you like to save first?
"END_PART2_KAYLEIGH3",We’ve come so far, {player}...
"END_PART2_MEREDITH3",END_PART2_MEREDITH3
"END_PART2_EUGENE3",There’s no turning back now, buddy! [pause]Man, I’m PUMPED!
"END_PART2_FELIX3",This looks like a pretty serious doorway. [pause]I guess this is it?
"END_PART2_VIOLA3",Could it truly be? Does our journey’s end lie ahead?
"END_PART2_DOG3",Arf!
"END_PART2_KAYLEIGH4",Hey wait up! You aren’t going in there without me!
"END_PART2_MEREDITH5",END_PART2_MEREDITH5
"END_PART2_EUGENE6",One last leap into the unknown, right? Badass!
"END_PART2_FELIX7",I gotta be here for this.
"END_PART2_VIOLA8",If this is to be our final act, [pause]then let it be done together!
"END_PART2_DOG9",Arf!
"END_PART2_PLAYER_OPTION1",Thank you for coming!
"AA_ALEPH_SUBTITLE",Red King of Conquest
"END_PART3_KAYLEIGH1",That MUST be the doorway....
"END_PART3_MEREDITH2",This is it, [pause]right?
"END_PART3_EUGENE3",[shake rate=30 level=10]Momentous![/shake]
"END_PART3_FELIX4",So we’re assuming this giant triangle is the doorway, right?
"END_PART3_VIOLA5",Such a sight...
"END_PART3_DOG6",*Pant pant*
"END_PART3_ALEPH7",Wow, we really did it!
"END_PART3_KAYLEIGH8",Aleph!
"END_PART3_MEREDITH8",Oh. You again.
"END_PART3_EUGENE8",What do you want, [pause]creep?
"END_PART3_FELIX8",Were you following us…?
"END_PART3_VIOLA8",You!
"END_PART3_DOG8",Arf?!
"END_PART3_ALEPH9",THAT OLD WITCH REALLY HID THIS PLACE WELL. 
"END_PART3_ALEPH12",IT’S A REAL LABYRINTH DOWN HERE!
"END_PART3_ALEPH13_OPTION1",Is “that old witch” Morgante?
"END_PART3_ALEPH14",...
"END_PART3_ALEPH15",END_PART3_ALEPH15
"END_PART3_ALEPH17_OPTION1",What do you want?
"END_PART3_ALEPH18",SUCH AN ACCUSATORY TONE! WE’RE TRYING TO MAINTAIN A POSITIVE ATMOSPHERE HERE, FRIENDS!
"END_PART3_ALEPH20",SPEAKING OF FRIENDS...
"END_PART3_ALEPH21",MEET THE NEW TEAM!
"END_PART3_KAYLEIGH22",Oh no...
"END_PART3_MEREDITH23",Uh-oh...
"END_PART3_EUGENE24",...Oh.
"END_PART3_FELIX25",...Huh.
"END_PART3_VIOLA26",I see...
"END_PART3_DOG27",Arf…?
"END_PART3_ALEPH28",Y’SEE, I USED TO BE KIND OF A BIG SHOT.
"END_PART3_ALEPH31",YOU HUMANS LIVE ON YOUR LITTLE WORLDS AND YOU INVENT ALL THESE CUTE IDEAS. LOVE, DEATH, WHATEVER… 
"END_PART3_ALEPH34B",UNFORTUNATELY MY OLD BAND GOT A TAD DYSFUNCTIONAL AND HAD TO SPLIT.
"END_PART3_ALEPH36",BUT NOW WE’RE BACK IN ACTION!
